COUNTRY,ADMIN1,MONTH,total_events,total_fatalities,label,rainfall_mm,drought_index,temp_celsius,poverty_rate,literacy_rate,infrastructure_score,past_conflicts_3mo
Algeria,Adrar,2003-04,1,1,1,69.93428306022466,0.1812744772076369,29.82669005270351,0.3252333689077289,0.6248549255087595,0.30863794394211697,0
Algeria,Adrar,2009-02,1,0,0,57.23471397657631,4.920090750981803,30.073055369579897,0.218935504680963,0.7142947529861324,0.372919483470788,2
Algeria,Adrar,2009-05,1,0,0,72.95377076201385,2.2745330144119857,25.710971618776217,0.6035893278253612,0.5998182231770064,0.34781220767320054,2
Algeria,Ain Defla,1997-04,1,28,1,90.46059712816052,1.796155703108615,27.94611868838217,0.6881383579858136,0.7783459916424911,0.30612301508931955,2
Algeria,Ain Defla,1997-12,1,29,1,55.31693250553328,1.4636221891988592,23.07366508654213,0.2382818073324512,0.8900675808735743,0.7333318631405419,6
Algeria,Ain Defla,1998-01,1,14,1,55.317260861016386,0.8717835382543582,29.95485030901755,0.6690184036628606,0.820776093858963,0.8736400559618362,1
Algeria,Ain Defla,1999-04,2,8,1,91.58425631014782,3.9578695446501393,24.65007372982481,0.37963720598803097,0.7476381927550267,0.30670095917928897,1
Algeria,Ain Defla,1999-06,1,1,1,75.34869458305818,4.777070823730483,29.35576607871464,0.6707198042940437,0.7270026134968404,0.3676143610772784,3
Algeria,Ain Defla,1999-12,1,7,1,50.610512281300956,2.068223774226991,23.552086267829516,0.5244196620012234,0.6959085029411716,0.8164055156099228,0
Algeria,Ain Defla,2000-02,1,10,1,70.8512008717193,4.762103473767281,30.094247719302025,0.6451221562242067,0.5819885727054401,0.713101349685745,0
Algeria,Ain Defla,2000-04,1,1,1,50.73164614375075,4.118988077175171,27.965505570068313,0.5929165125257067,0.6392040207376982,0.5428262378977817,1
Algeria,Ain Defla,2000-05,1,0,0,50.68540492859486,2.4052556373815914,24.655926913149163,0.21399887141031343,0.6625576296685203,0.8956779104803894,3
Algeria,Ain Defla,2000-10,1,5,1,64.83924543132068,3.3701308956306635,29.074069143241577,0.23272125116252695,0.8778276299364042,0.644172805073997,3
Algeria,Ain Defla,2000-12,1,16,1,21.73439510684404,2.1749208958523147,25.228914924584007,0.462872302559272,0.670233141614405,0.7017594076496569,4
Algeria,Ain Defla,2001-06,1,16,1,25.501643349739346,2.793617041062762,29.248665112335384,0.26480950992245633,0.7344761419183704,0.6919058201013077,0
Algeria,Ain Defla,2001-07,1,17,1,48.754249415180546,0.29023168509251906,26.177665573857837,0.43051711957857575,0.8689698162447035,0.43362097805333644,2
Algeria,Ain Defla,2002-01,2,17,1,39.74337759331152,3.4813173765026657,21.836858623111013,0.6773151492822338,0.7073705631245373,0.5928746458664953,1
Algeria,Ain Defla,2002-04,1,13,1,66.28494665190547,0.26412322242068353,24.05275127855719,0.34737864377724215,0.6005799119456138,0.4298467791301953,5
Algeria,Ain Defla,2002-05,1,3,1,41.83951848957578,4.085424734598248,25.708755873938145,0.44445635690787044,0.652402442639231,0.6056787181245742,4
Algeria,Ain Defla,2002-07,1,1,1,31.75392597329417,4.1247346473027875,31.104567071245732,0.39212981503403466,0.6502156801811132,0.3184687312851637,0
Algeria,Ain Defla,2002-09,1,5,1,89.31297537843108,1.185386437781073,29.703430891587676,0.5149134821241241,0.7858870258808619,0.5291755061110155,1
Algeria,Ain Defla,2002-11,1,1,1,55.48447399026929,1.6183139051790012,31.871584236966427,0.2969224653257794,0.6184482921840103,0.5233260437330811,1
Algeria,Ain Defla,2002-12,1,11,1,61.35056409375848,2.4065518927914664,31.960905648089575,0.32996964506714166,0.7921154311041577,0.47497837311109486,2
Algeria,Ain Defla,2003-03,1,12,1,31.505036275730866,2.9833145346624073,25.395747586227255,0.6293839256820051,0.8556970847546903,0.34753736529914225,1
Algeria,Ain Defla,2003-05,1,1,1,49.11234550949635,1.4367683087099836,26.43453942072351,0.6056681119301691,0.6344292046854847,0.7625802361574616,5
Algeria,Ain Defla,2006-01,1,1,1,62.21845179419732,2.962432023159625,25.766160227008385,0.5945948444353202,0.5541364400983076,0.5522729185728192,2
Algeria,Ain Defla,2006-02,1,8,1,36.980128451553945,1.4889353661464944,24.98546818409677,0.585459804658948,0.7554217403874571,0.7883839072567462,3
Algeria,Ain Defla,2007-03,1,7,1,67.51396036691344,0.2774536053553034,21.475515871990623,0.42971874673078947,0.6443417870095977,0.8014363427529354,4
Algeria,Ain Defla,2007-06,1,4,1,47.9872262016239,0.012637749159544742,26.955756845949473,0.5644453862661041,0.7135944668578311,0.4281584339410738,2
Algeria,Ain Defla,2007-07,3,23,1,54.166125004134464,0.505755289592143,23.14330321886667,0.3936024089360589,0.7536662527358443,0.5527980682792943,0
Algeria,Ain Defla,2007-08,1,7,1,47.96586775541206,3.9612535008200913,26.89748435539702,0.2503547900947401,0.6630971776243646,0.7325844031254212,1
Algeria,Ain Defla,2007-09,1,0,0,97.04556369017875,4.807156561916686,33.34731242868895,0.39668732082444613,0.8698777807160298,0.599697692204938,1
Algeria,Ain Defla,2009-05,1,0,0,59.730055505241324,2.1348309964060963,25.471964711007875,0.27933152211396545,0.6598458616681888,0.8130409382417827,2
Algeria,Ain Defla,2010-01,1,0,0,38.84578142088199,2.563419767249714,27.5843220168842,0.39542584031625483,0.6229497308960116,0.6429414046280439,3
Algeria,Ain Temouchent,1997-06,1,11,1,76.45089824206377,0.7342408453671306,29.71994515742785,0.3487126076814433,0.8542700884395551,0.67774858071514,3
Algeria,Alger,1997-02,1,10,1,35.58312700057955,2.755156763400785,27.84087387589772,0.4995803335339624,0.5545206893703238,0.7722140787268232,1
Algeria,Alger,1997-05,1,70,1,64.1772719000951,0.7232745100348842,27.87745256382689,0.38077020774921166,0.5496835715142361,0.37333326457710675,3
Algeria,Alger,1997-07,1,20,1,20.806597522404488,3.0560716559941503,25.91279269893576,0.5527948316895892,0.8742792830422503,0.6505489427508329,5
Algeria,Alger,1997-11,1,5,1,33.436279022031385,4.6662933379042695,26.3043660748163,0.45607334052382464,0.5835873656437796,0.35125792125848854,2
Algeria,Alger,1998-03,1,0,0,63.93722471738247,0.978492696515198,24.119968433436515,0.6597461392576999,0.5593749614498562,0.45633067412222317,0
Algeria,Alger,1998-06,2,18,1,74.76933159990821,3.82281859028551,29.538135026668222,0.2455127176751935,0.7140673216078194,0.4275430238547473,5
Algeria,Alger,1998-07,3,16,1,63.42736562379941,0.11751211409162021,21.775525030157713,0.5438545943206661,0.518715386484119,0.6402456543971043,0
Algeria,Alger,1999-01,1,9,1,57.68703435223519,1.877486206608105,29.913265015146607,0.5361984387850198,0.748006000291024,0.8063414270342717,3
Algeria,Alger,1999-12,1,15,1,53.977926088214225,0.5537425391525452,22.78890484576427,0.6753132737063503,0.6811723193356258,0.37968576573030954,2
Algeria,Alger,2000-01,1,20,1,30.42956019265145,1.7623772079784972,29.887821822229956,0.38577593352182626,0.7561647857658934,0.761037916588251,1
Algeria,Alger,2000-06,2,12,1,45.60311583210583,0.8676845981944176,25.938547421363456,0.3527189848560811,0.6135747614131002,0.3858396752536493,2
Algeria,Alger,2000-08,1,0,0,50.78722458080425,1.866524950614437,23.30439393560076,0.2861967221068283,0.8621888857395767,0.41380302770905614,3
Algeria,Alger,2001-01,1,1,1,81.1424445243783,2.087614030537652,28.73789593523891,0.3326442576776468,0.6082322850901383,0.8501641183530395,2
Algeria,Alger,2001-02,2,8,1,66.87236579136923,1.5029556139045919,29.786302605227323,0.45094538637756926,0.7550258742171443,0.3058374933039928,2
Algeria,Alger,2001-03,1,1,1,24.73919689274532,3.2831097473656454,25.68576405568939,0.6188564809799886,0.8780367402510498,0.41828642474012323,1
Algeria,Alger,2001-04,1,1,1,66.4816793878959,4.5942602562945485,29.1618316460368,0.3421433017403206,0.660323715336513,0.429333654767051,3
Algeria,Alger,2001-05,2,2,1,52.29835439167367,2.0029768705263615,20.144746515991947,0.2788710583286953,0.564570611317138,0.46912833802858595,4
Algeria,Alger,2001-06,1,1,1,46.461559993880826,0.9617157823751071,23.0382111307602,0.3360642355370843,0.5273529903647335,0.5180470242566617,3
Algeria,Alger,2001-07,2,10,1,72.23352577681736,1.3536137909799169,30.877226791406187,0.2504634875142423,0.8852071987230425,0.3619068071032393,1
Algeria,Alger,2001-08,1,1,1,80.61999044991902,4.270004117481845,26.328992177406253,0.663347708153998,0.8054805943975756,0.5810725679298203,1
Algeria,Alger,2001-09,1,1,1,78.62560238232398,2.8581986163507396,21.413360020653457,0.6363120760111236,0.8675808240283137,0.5396102204183335,1
Algeria,Alger,2001-10,3,35,1,43.21564953554723,2.2750551615347865,24.90340145867402,0.35424585849257617,0.7795332212639245,0.6749602865491497,0
Algeria,Alger,2001-12,1,9,1,53.81575248297571,0.7481836075446335,24.229798582424756,0.3234939079659335,0.6369794016757427,0.8205105804412209,2
Algeria,Alger,2002-08,1,10,1,66.62526862807128,2.2486365416189096,26.502114805581225,0.6526986570324578,0.549206634393352,0.47863215608153437,2
Algeria,Alger,2002-09,2,0,0,79.51090254244718,1.3924600167869334,25.887747048577058,0.200885975660478,0.8717227437100004,0.6278926645557568,0
Algeria,Alger,2002-11,2,1,1,50.4165152430942,4.715815639266746,27.536795186814484,0.5002887639956732,0.6958476176523765,0.5228264220841109,0
Algeria,Alger,2003-03,2,0,0,56.286820466723654,4.420350547078656,26.791601845162276,0.6580018804728351,0.6586035985110491,0.32415016865299784,0
Algeria,Alger,2003-06,1,1,1,37.873300519879436,0.41951270914099004,31.079217765111057,0.45427874445317634,0.7311168244956493,0.7926452184762558,3
Algeria,Alger,2003-10,1,4,1,36.07586751838659,2.5832674463062144,28.273645799159006,0.20148347979981696,0.5426237285724276,0.6805298639951631,3
Algeria,Alger,2003-12,1,0,0,76.25051644788397,1.1252917275733605,28.373014833580758,0.30943571469257786,0.6236815277497936,0.3013033622251698,1
Algeria,Alger,2004-03,2,2,1,87.12480057141646,2.053885447621453,30.495471371683564,0.6612207969459669,0.7551504428392668,0.44974316412157,3
Algeria,Alger,2004-04,1,0,0,58.55979756839332,4.3842399912572825,25.833693748711255,0.20851121208991463,0.540049178542862,0.48539364299338605,0
Algeria,Alger,2004-05,1,6,1,80.07065795784048,2.637572599442724,23.214367669924545,0.3973898830316007,0.5540971035859535,0.7869189243186852,5
Algeria,Alger,2004-06,1,1,1,67.23272050095268,1.6710764668537992,30.62091097389675,0.5948723631664891,0.7042351456364222,0.7564279262440188,2
Algeria,Alger,2004-08,1,2,1,47.09760490789751,1.0394417705249852,27.407525244324336,0.6190454968425017,0.7493828498404365,0.5376863112813117,1
